play_name,Closest words with Spacy embeddings,spacy_word_2,spacy_word_3,Closest word with custom stopwords embedding,manual_word_2,manual_word_3,Closest word without removing stopwords,with_stopwords_word_2,with_stopwords_word_3
abeille-argelie.xml_raw.txt,désespérement,ressentiment,heureusement,Mais,malheureuse,Pourtout,mais,toujours,Évidemment
abeille-coriolan.xml_raw.txt,désespérement,ressentiment,heureusement,Mais,Pourtout,Pourtant,Évidemment,toujours,mais
abeille-lyncee.xml_raw.txt,désespérement,ressentiment,heureusement,malheureux,malheureuse,Malheureux,toujours,Évidemment,mais
about-risette.xml_raw.txt,heureusement,vraiment,toujours,Mais,Maintenant,Pourtout,mais,vraiment,toujours
adenis-diogene-et-scapin.xml_raw.txt,désespérement,heureusement,décidément,Mais,Pourtout,Pourtant,mais,vraiment,sourtout
adenis-gaiete-marseillaise.xml_raw.txt,chatouillement,tranquillement,heureusement,Mais,Pourtout,Pourtant,mais,Évidemment,toujours
adenis-homme-qui-ne-peut-pas-siffler.xml_raw.txt,chatouillement,heureusement,paresseusement,Mais,Pourtant,Pourtout,mais,sourtout,toujours
adenis-le-nouveau-ne.xml_raw.txt,chatouillement,heureusement,toujours,Mais,Pourtant,Il,mais,sourtout,Pourtant
adenisj-la-double-meprise.xml_raw.txt,heureusement,gentillement,malheureusement,Pourtout,vraiment,Maintenant,mais,Évidemment,toujours
aicard-au-clair-de-la-lune.xml_raw.txt,chatouillement,amoureusement,heureusement,Mais,vraiment,Pourtout,mais,sourtout,vraiment
aicard-mascarille.xml_raw.txt,décidément,amoureusement,Émerveillement,Pourtant,Mais,Pourtout,toujours,sourtout,Pourtant
aicard-moliere-a-shakespeare.xml_raw.txt,bother,praying,another,bother,praying,another,",",grandfather,strange
aicard-pygmalion.xml_raw.txt,amoureusement,enchantement,rêveusement,amoureusement,inconnaissable,merveilleusement,sourtout,mais,toujours
aicard-smilis.xml_raw.txt,heureusement,toujours,malheureusement,Mais,inquiette,Malheureuse,mais,vraiment,toujours
aignan-polyxene.xml_raw.txt,tourment,courageusement,désespérement,Malheureusement,malheureux,Malheureux,Malheureusement,Évidemment,toujours
aigueberre-avare-amoureux.xml_raw.txt,vraiment,honnêtement,décidément,vraiment,Mais,Malheureuse,mais,Évidemment,toujours
aigueberre-pan-et-doris.xml_raw.txt,ressentiment,Émerveillement,incommensurablement,Ressentiment,compliment,ressentiment,toujours,Évidemment,Malheureusement
aigueberre-polixene.xml_raw.txt,désespérement,tourment,ressentiment,malheureux,désespéremment,Mais,Évidemment,toujours,quelquefois
aigueberre-prologue.xml_raw.txt,décidément,heureusement,justement,décidément,compliment,vraiment,Évidemment,Evidemment,toujours
alain-legrand-epreuve-reciproque.xml_raw.txt,heureusement,décidément,vraiment,vraiment,compliment,Evidemment,mais,Évidemment,toujours
allainval-ecole-des-bourgeois.xml_raw.txt,compliment,décidément,gentiment,Mais,Pourtout,Malheureuse,mais,toujours,Évidemment
allainval-hiver.xml_raw.txt,amoureusement,heureusement,Émerveillement,Pourtout,Mais,Vraiment,Évidemment,mais,toujours
allais-bon-bougre.xml_raw.txt,heureusement,vraiment,braiment,LE,PETIT,MABILLE,mais,vraiment,toujours
allais-mecontent.xml_raw.txt,heureusement,précipitemment,chatouillement,heureusement,Heureusement,Malheureusement,mais,toujours,sourtout
allais-une-idee-lumineuse.xml_raw.txt,simplement,heureusement,chatouillement,vraiment,braiment,compliment,mais,vraiment,Évidemment
allary-les-lilas-blancs.xml_raw.txt,heureusement,chatouillement,paresseusement,vraiment,braiment,chatouillement,mais,toujours,sourtout
ancelot-arago-papillotes.xml_raw.txt,heureusement,compliment,toujours,Mais,Pourtout,vraiment,mais,Évidemment,toujours
ancelot-auger-une-seduction.xml_raw.txt,heureusement,décidément,honnêtement,vraiment,compliment,Pourtout,mais,toujours,Évidemment
andrieux-anaximandre.xml_raw.txt,vraiment,toujours,décidément,Mais,Pourtout,vraiment,mais,vraiment,toujours
andrieux-la-comedienne.xml_raw.txt,vraiment,honnêtement,heureusement,Mais,Maintenant,Pourtout,mais,vraiment,Évidemment
andrieux-le-reve-du-mari.xml_raw.txt,vraiment,heureusement,décidément,Mais,Maintenant,Pourtout,mais,Évidemment,vraiment
andrieux-les-etourdis.xml_raw.txt,heureusement,malheureusement,vraiment,Mais,Maintenant,Pourtout,mais,Évidemment,toujours
andrieux-moliere-et-ses-amis.xml_raw.txt,heureusement,décidément,toujours,Mais,Pourtout,Maintenant,mais,toujours,Évidemment
anomyme-dialogue-de-la-prude-et-de-la-coquette.xml_raw.txt,justement,honnêtement,simplement,honnêtement,justement,compliment,Évidemment,Evidemment,toujours
anonyme-adam.xml_raw.txt,éternellement,Éternellement,Eternellement,Mais,Maintenant,Pourtant,mais,Évidemment,toujours
anonyme-aventures-de-ninette.xml_raw.txt,chatouilleuse,chatouillement,souricette,chatouilleuse,Nounouille,bisouille,mais,toujours,Évidemment
anonyme-bonnes-gens.xml_raw.txt,heureusement,malheureusement,toujours,Pourtout,Mais,Maintenant,Évidemment,mais,toujours
anonyme-chapelain-decoiffe-2.xml_raw.txt,heureusement,décidément,malheureusement,Pourtout,Mais,Pourtant,mais,toujours,Évidemment
anonyme-chapelain-decoiffe.xml_raw.txt,heureusement,décidément,malheureusement,Pourtout,Malheureuse,compliment,mais,toujours,Évidemment
anonyme-club-des-dames.xml_raw.txt,justement,honnêtement,heureusement,compliment,Simplement,justement,Évidemment,Evidemment,toujours
anonyme-d-alcippe-et-de-drionice.xml_raw.txt,honnêtement,simplement,justement,merveillement,simplement,ressentiment,Évidemment,réellement,toujours
anonyme-deroute-des-precieuses.xml_raw.txt,heureusement,amoureusement,justement,Vraiment,Pourtout,plaisanter,Évidemment,Evidemment,toujours
anonyme-dialogue-des-yeux-et-de-la-bouche.xml_raw.txt,incommensurablement,justement,simplement,justement,Simplement,certainement,Évidemment,réellement,Evidemment
anonyme-dialogue-rousseau-voltaire.xml_raw.txt,incommensurablement,honnêtement,justement,assentiment,ressentiment,sincèrement,Évidemment,Evidemment,toujours
anonyme-dialogue-sur-les-vacances.xml_raw.txt,heureusement,justement,malheureusement,Evidemment,Pourtout,Évidemment,Évidemment,toujours,Evidemment
anonyme-jeu-d-esmoree.xml_raw.txt,amoureusement,enfantement,heureusement,malheureuse,bienheureuse,amoureusement,toujours,mais,Évidemment
anonyme-jus-du-pelerin.xml_raw.txt,heureusement,peut-être,toujours,bienheureux,bien-entendu,Malheureux,mais,toujours,Évidemment
anonyme-la-complainte-de-la-femme-coupee.xml_raw.txt,heureusement,chatouillement,paresseusement,Pourtant,Mais,Pourtout,Pourtant,Malheureusement,paradoxalement
anonyme-le-normand-et-le-gascon.xml_raw.txt,heureusement,bellement,orgueilleusement,Pourtout,Vraiment,Décidément,Évidemment,Evidemment,toujours
anonyme-matinee-comedien-francais.xml_raw.txt,heureusement,honnêtement,malheureusement,Evidemment,vraiment,Évidemment,mais,Évidemment,Evidemment
anonyme-melisse.xml_raw.txt,désespérement,heureusement,incommensurablement,Pourtout,vraiment,Pourtant,Évidemment,toujours,Malheureusement
anonyme-ouverture-de-la-seance.xml_raw.txt,justement,certainement,souverainement,certainement,justement,souverainement,véritablement,perpétuellement,paradoxalement
anonyme-pardonneur.xml_raw.txt,bellement,sacramentellement,heureusement,Et,Mais,Maintenant,mais,Évidemment,Evidemment
anonyme-pont-aux-anes.xml_raw.txt,amoureusement,heureusement,bellement,LE,PETIT,JOELLE,mais,Évidemment,Evidemment
anonyme-portier-du-parnasse.xml_raw.txt,heureusement,décidément,justement,compliment,Heureusement,Malheureusement,Évidemment,toujours,Evidemment
anonyme-prix-d-un-moment.xml_raw.txt,heureusement,compliment,décidément,compliment,Heureusement,Malheureusement,Évidemment,toujours,Malheureusement
anonyme-reception-argenson.xml_raw.txt,Eternellement,courageusement,Éternellement,Émerveillement,Eternellement,Éternellement,véritablement,perpétuellement,certainement
anonyme-resurrection-du-sauveur.xml_raw.txt,précipitemment,sacramentellement,miséricordieusement,bienheureux,miséricordieusement,précipitemment,mais,Évidemment,toujours
anonyme-resurrection-jenin-landore.xml_raw.txt,peut-être,heureusement,désespérement,Mais,Et,Alors,mais,Évidemment,Evidemment
anonyme-sauvages-civilises.xml_raw.txt,éternellement,Eternellement,glorieusement,Désespérant,tourment,ressentiment,perpétuellement,Malheureusement,discernant
anonyme-serail-de-de-lys.xml_raw.txt,surprendrait,ressentirait,regarderait,Mais,Surtout,vraiment,mais,vraiment,sourtout
anonyme-sermon-joyeux.xml_raw.txt,bellement,heureusement,compliment,Et,Mais,Pourquoi,mais,Évidemment,Evidemment
anonyme-theatre-de-la-societe-de-la-rue-du-perron.xml_raw.txt,heureusement,Émerveillement,emerveillement,Malheureusement,Émerveillement,Emerveillement,véritablement,Malheureusement,Évidemment
anonyme-vierges-folles-vierges-sages.xml_raw.txt,miséricordieusement,Eternellement,sacramentellement,bienheureux,miséricordieusement,Eternellement,Malheureusement,Évidemment,toujours
anonyme-voila-bien-le-diable.xml_raw.txt,heureusement,gentillement,compliment,Pourtout,Maintenant,Mais,Évidemment,mais,toujours
anonyme-zelamire.xml_raw.txt,désespérement,décidément,heureusement,Mais,Pourtout,vraiment,mais,toujours,sourtout
anseaume-cendrillon.xml_raw.txt,décidément,heureusement,compliment,Maintenant,-Comme,Bien-entendu,mais,Évidemment,Evidemment
anseaume-chinois.xml_raw.txt,honnêtement,heureusement,compliment,Maintenant,Pourtout,Puisque,mais,Évidemment,toujours
anseaume-ressource-comique.xml_raw.txt,heureusement,décidément,honnêtement,Pourtout,vraiment,Maintenant,mais,Évidemment,toujours
anseaume-tableau-parlant.xml_raw.txt,heureusement,vraiment,toujours,Mais,Pourtout,Maintenant,mais,toujours,Évidemment
arago-mademoiselle-lange.xml_raw.txt,heureusement,compliment,amoureusement,Mais,Malheureuse,malheureuse,mais,toujours,Évidemment
archambault-ce-n-est-pas.xml_raw.txt,penserais,vraiment,pardonnerais,Mais,vraiment,Maintenant,mais,vraiment,car
archambault-comedie-a-l-impromptu.xml_raw.txt,vraiment,honnêtement,compliment,Mais,Pourtout,Malheureuse,mais,Évidemment,toujours
archambault-etrennes.xml_raw.txt,amoureusement,heureusement,compliment,Mais,Pourtout,Malheureuse,mais,Évidemment,toujours
archambault-hurlubrelu.xml_raw.txt,vraiment,penserais,pardonnerais,Maintenant,Mais,vraiment,mais,vraiment,Evidemment
archambault-janot-battus.xml_raw.txt,vraiment,penserais,braiment,Mais,Maintenant,Alors,mais,vraiment,car
archambault-janot-degraisseur.xml_raw.txt,vraiment,penserais,braiment,inquiette,Maintenant,vraiment,mais,vraiment,car
archambault-jocrisse-change.xml_raw.txt,vraiment,penserais,surprendrais,Mais,Maintenant,vraiment,mais,vraiment,car
archambault-on-fait-ce-qu-on-peut.xml_raw.txt,compliment,vraiment,heureusement,vraiment,compliment,Pourtout,mais,Évidemment,toujours
arene-naze.xml_raw.txt,chatouillement,agenouillement,paresseusement,chatouillement,tressaillement,agenouillement,inséparablement,Semblablement,perpétuellement
aristophane-guepes.xml_raw.txt,heureusement,malheureusement,désespérement,compliment,heureusement,Malheureusement,Évidemment,mais,toujours
armand-cri-nature.xml_raw.txt,heureusement,malheureusement,décidément,Mais,Pourtout,Maintenant,mais,Évidemment,toujours
arnault-horatius-cocles.xml_raw.txt,glorieusement,courageusement,héroïquement,Pourtant,Malheureux,Désespérant,rependant,Malheureusement,véritablement
arnault-lucrece.xml_raw.txt,ressentiment,désespérement,incommensurablement,Pourtant,ressentiment,Malheureusement,Évidemment,toujours,Malheureusement
artaud-centenaire-moliere.xml_raw.txt,heureusement,honnêtement,compliment,Mais,Pourtout,Maintenant,Évidemment,mais,Evidemment
aubignac-pucelle-prose.xml_raw.txt,incommensurablement,justement,courageusement,désespérement,justement,souverainement,Évidemment,toujours,Malheureusement
aubignac-pucelle.xml_raw.txt,incommensurablement,désespérement,heureusement,Pourtant,Mais,Malheureusement,Évidemment,toujours,Evidemment
aubryet-hommage-a-racine.xml_raw.txt,orgueilleusement,glorieusement,tourment,tourment,Émerveillement,Emerveillement,perpétuellement,véritablement,paradoxalement
aude-ecole-tragique.xml_raw.txt,heureusement,compliment,désespérement,compliment,vraiment,gentiment,mais,Évidemment,toujours
audiffret-albert-durer.xml_raw.txt,heureusement,Émerveillement,justement,compliment,Toutant,présentiment,Évidemment,toujours,mais
audiffret-comedie-au-chateau.xml_raw.txt,heureusement,compliment,justement,Evidemment,compliment,Pourtout,Évidemment,mais,Evidemment
