Play,Closest play Spacy,Closest distance Spacy,Closest play Manual,Closest distance Manual,Closest play with stopwords,Closest distance with stopwords,All agree,Stopwords agree,Same author Manual or Spacy,Same author Manual,Same author with stopwords
marivaux-fausse-suivante,marivaux-surprise-de-l-amour,0.0046,marivaux-seconde-surprise-de-l-amour,0.0117,marivaux-denouement-imprevu,0.0033,FALSE,FALSE,TRUE,TRUE,TRUE
dancourt-foire-de-besons,dancourt-retour-des-officiers,0.0063,dancourt-tuteur,0.0123,dancourt-comedie-comediens,0.0033,FALSE,FALSE,TRUE,TRUE,TRUE
andrieux-le-reve-du-mari,hauteroche-amant-flatte-point,0.0064,anseaume-tableau-parlant,0.013,anseaume-tableau-parlant,0.0033,FALSE,FALSE,FALSE,FALSE,FALSE
corneillet-festin-pierre,moliere-dom-juan,0.0062,corneillet-dom-bertran-de-cigarral,0.0135,scarron-marquis-ridicule,0.0033,FALSE,FALSE,FALSE,TRUE,FALSE
voltaire-duc-d-alencon,voltaire-adelaide,0.0049,chamfort-mustapha-zeangir,0.0137,voltaire-adelaide,0.0033,FALSE,FALSE,TRUE,FALSE,TRUE
scribe-les-dervis,boursault-comedie-sans-titre,0.0114,cailhava-egoisme,0.0138,guibert-filles-a-marier,0.0033,FALSE,FALSE,FALSE,FALSE,FALSE
dufresny-joueuse,desportes-veuve-coquette,0.0077,rousseaujb-cafe,0.0157,dufresny-faux-honnete-homme,0.0033,FALSE,FALSE,FALSE,FALSE,TRUE
rousseaujb-cafe,lesage-turcaret,0.0077,dufresny-joueuse,0.0157,sand-moliere,0.0033,FALSE,FALSE,FALSE,FALSE,FALSE
sacy-fat-de-province,ancelot-arago-papillotes,0.01,sacy-mysterieux,0.016,dancourt-parisienne,0.0033,FALSE,FALSE,FALSE,TRUE,FALSE
dancourt-desolation-des-joueuses,dancourt-deroute-pharaon,0.0072,dancourt-bourgeoises-a-la-mode,0.0163,regnard-arlequin-bonnes-fortunes,0.0033,FALSE,FALSE,TRUE,TRUE,FALSE
dancourt-vert-galant,dancourt-gazette,0.0126,dancourt-agioteurs,0.0181,dancourt-vendanges-de-suresnes,0.0033,FALSE,FALSE,TRUE,TRUE,TRUE
sacy-vive-la-vie,balzac-vautrin,0.0157,beaumarchais-autre-tartuffe,0.0182,regnard-divorce,0.0033,FALSE,FALSE,FALSE,FALSE,FALSE
dancourt-galant-jardinier,regnard-serenade,0.01,dancourt-opera-de-village,0.0196,dancourt-moulin-de-javelle,0.0033,FALSE,FALSE,FALSE,TRUE,TRUE
legrand-cartouche,barquebois-rapiniere,0.0107,rousseaujb-cafe,0.0201,dancourt-femme-d-intrigues,0.0033,FALSE,FALSE,FALSE,FALSE,FALSE
dufresny-mal-assortis,regnard-coquette,0.006,regnard-arlequin-bonnes-fortunes,0.0206,dancourt-foire-de-besons,0.0033,FALSE,FALSE,FALSE,FALSE,FALSE
rotrou-iphigenie,rotrou-antigone,0.0046,rotrou-antigone,0.0053,mairet-athenais,0.0034,FALSE,TRUE,TRUE,TRUE,FALSE
la-calprenede-comte-d-essex,la-calprenede-jeanne,0.0038,la-calprenede-edouard,0.0054,la-calprenede-mort-mitrhidate,0.0034,FALSE,FALSE,TRUE,TRUE,TRUE
du-ryer-alcimedon,cinq-auteurs-aveugle-de-smyrne,0.0054,cinq-auteurs-aveugle-de-smyrne,0.0065,baro-clorise,0.0034,FALSE,TRUE,FALSE,FALSE,FALSE
barbier-mort-de-cesar,bernard-brutus,0.0068,pellegrin-tibere,0.0073,bernard-brutus,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
nadal-antiochus,nadal-osarphis-moise,0.0054,nadal-saul,0.0076,blanc-druides,0.0034,FALSE,FALSE,TRUE,TRUE,FALSE
mairet-athenais,mairet-sophonisbe,0.0047,mairet-sophonisbe,0.0078,rotrou-iphigenie,0.0034,FALSE,TRUE,TRUE,TRUE,FALSE
viau-pyrame,scudery-ligdamon-e-lidias,0.0058,scudery-ligdamon-e-lidias,0.0078,baro-parthenie,0.0034,FALSE,TRUE,FALSE,FALSE,FALSE
ozicourt-belizaire,campistron-phocion,0.0049,voltaire-tancrede,0.008,voltaire-tancrede,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
la-calprenede-mort-mitrhidate,corneillep-horace,0.0046,la-calprenede-clarionte,0.0081,la-calprenede-comte-d-essex,0.0034,FALSE,FALSE,FALSE,TRUE,TRUE
gilbert-telephonte,racine-thebaide-64,0.0051,palissot-ninus,0.0082,baro-clarimonde,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
nadal-osarphis-moise,nadal-antiochus,0.0054,nadal-antiochus,0.0086,carrion-nizas-pierre-le-grand,0.0034,FALSE,TRUE,TRUE,TRUE,FALSE
graffigny-phaza,durant-a-bon-chat-bon-rat,0.0071,rousseau-narcisse,0.0091,rousseau-narcisse,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
biancolleli-enfants-trouves,romagnesi-riccoboni-sauvages,0.0059,regnard-legataire,0.0096,quinault-genereuse-ingratitude,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
legouve-eteocle,palissot-ninus,0.0067,ronsin-aretaphile,0.0098,la-harpe-philoctete,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
romagnesi-riccoboni-sauvages,biancolleli-enfants-trouves,0.0059,armand-cri-nature,0.0102,quinault-les-rivales,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
la-harpe-philoctete,genest-penelope,0.0085,dorat-regulus,0.0106,legouve-eteocle,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
palissot-tuteurs,piron-metromanie,0.0081,la-thuilerie-crispin-bel-esprit,0.0112,palissot-philosophes,0.0034,FALSE,FALSE,FALSE,FALSE,TRUE
donneau-de-vise-dames-vengees,rousseau-narcisse,0.0068,rousseau-narcisse,0.0113,moliere-malade-imaginaire,0.0034,FALSE,TRUE,FALSE,FALSE,FALSE
palissot-philosophes,dorat-les-proneurs,0.0072,dorat-la-feinte-par-amour,0.0113,palissot-tuteurs,0.0034,FALSE,FALSE,FALSE,FALSE,TRUE
boursault-satire-des-satires,montfleury-impromptu-conde,0.0123,montfleury-impromptu-conde,0.0115,montfleury-impromptu-conde,0.0034,TRUE,TRUE,FALSE,FALSE,FALSE
montfleury-impromptu-conde,boursault-satire-des-satires,0.0123,boursault-satire-des-satires,0.0115,boursault-satire-des-satires,0.0034,TRUE,TRUE,FALSE,FALSE,FALSE
mercier-habitant-guadeloupe,cheron-homme-a-bonnes-fortunes,0.0085,mercier-liberateur,0.0121,poinsinet-cercle,0.0034,FALSE,FALSE,FALSE,TRUE,FALSE
blanc-druides,nadal-antiochus,0.0075,fabre-d-eglantine-augusta,0.0123,nadal-antiochus,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
hauteroche-cocher-suppose,dancourt-enfants-de-paris,0.0095,regnard-serenade,0.014,regnard-serenade,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
anseaume-ressource-comique,dufresny-negligent,0.0067,poisson-actrice-nouvelle,0.015,beaumarchais-barbier-de-seville,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
aigueberre-avare-amoureux,dancourt-parisienne,0.0108,marivaux-ecole-des-meres,0.015,regnard-serenade,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
nizas-sauvage-en-france,rousseau-prisonniers-de-guerre,0.0073,rousseau-narcisse,0.0151,donneau-de-vise-dames-vengees,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
beaumarchais-barbier-de-seville,regnard-distrait,0.0104,gouges-cherubin,0.0164,anseaume-ressource-comique,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
dufresny-malade-sans-maladie,rousseau-narcisse,0.0068,marivaux-prince-travesti,0.0171,alain-legrand-epreuve-reciproque,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
fatouville-arlequin-empereur-dans-la-lune,barante-dufresny-pasquin-marforio,0.009,musset-nuit-venitienne,0.0209,barante-dufresny-pasquin-marforio,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
musset-il-ne-faut-jurer-de-rien,musset-le-chandelier,0.0094,musset-le-chandelier,0.0219,marivaux-joie-imprevue,0.0034,FALSE,TRUE,TRUE,TRUE,FALSE
dufresny-noce-interrompue,regnard-serenade,0.0117,marivaux-fausse-suivante,0.023,lesage-turcaret,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
barante-dufresny-pasquin-marforio,fatouville-arlequin-empereur-dans-la-lune,0.009,cadet-gassicourt-souper-de-moliere,0.0257,fatouville-arlequin-empereur-dans-la-lune,0.0034,FALSE,FALSE,FALSE,FALSE,FALSE
sallebray-l-amante-ennemie,scudery-fils-suppose,0.004,baro-clorise,0.0052,discret-noces-de-vaugirard,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE
guerin-de-bouscal-fils-desavoue,boisrobert-cassandre,0.0081,jaquelin-soliman,0.007,racine-bajazet,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE
brosse-turne,desfontaines-veritable-semiramis,0.0055,desjardins-manlius,0.0074,rotrou-iphigenie,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE
voltaire-semiramis,voltaire-olympie,0.0059,voltaire-orphelin-de-la-chine,0.0074,voltaire-brutus,0.0035,FALSE,FALSE,TRUE,TRUE,TRUE
boyer-judith,desfontaines-veritable-semiramis,0.0072,baro-parthenie,0.0074,boyer-porcie-romaine,0.0035,FALSE,FALSE,FALSE,FALSE,TRUE
boyer-oropaste,boyer-artaxerce,0.0057,boyer-artaxerce,0.0075,boyer-tiridate,0.0035,FALSE,TRUE,TRUE,TRUE,TRUE
prade-arsace,corneillet-laodice,0.0069,jaquelin-soliman,0.0079,corneillep-heraclius,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE
discret-noces-de-vaugirard,corneillep-illusion-comique,0.0053,sallebray-l-amante-ennemie,0.0082,sallebray-l-amante-ennemie,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE
duche-absalon,campistron-arminiusc,0.0065,de-caux-marius,0.0082,genest-penelope,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE
genest-penelope,racine-mithridate,0.0054,campistron-alcibiade,0.0083,henault-marius-a-cirte,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE
campistron-adrien,campistron-phocion,0.0056,campistron-phocion,0.0083,voltaire-olympie,0.0035,FALSE,TRUE,TRUE,TRUE,FALSE
euripide-andromaque,euripide-electre,0.0039,euripide-hercule-furieux,0.0101,euripide-electre,0.0035,FALSE,FALSE,TRUE,TRUE,TRUE
pousset-de-montauban-zenobie,dalibray-soliman,0.0097,pechantre-geta,0.0101,la-chapelle-zaide,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE
la-motte-magnifique,moliere-avare,0.0058,marivaux-prince-travesti,0.0111,moliere-medecin-volant,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE
poulhariez-taciturne,regnard-distrait,0.0096,hauteroche-amant-flatte-point,0.0115,chevalier-pedagogue-amoureux,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE
musset-caprices,musset-badine,0.0077,sand-aldo-le-rimeur,0.0128,musset-fantasio,0.0035,FALSE,FALSE,TRUE,FALSE,TRUE
chabanon-eudoxie,legouve-attilie,0.0056,nadal-herode,0.013,saurin-blanche-et-guiscard,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE
moliere-medecin-volant,moliere-malade-imaginaire,0.0105,moliere-medecin-malgre-lui,0.0134,la-motte-magnifique,0.0035,FALSE,FALSE,TRUE,TRUE,FALSE
saurin-blanche-et-guiscard,chabanon-eudoxie,0.0101,legouve-attilie,0.0136,chabanon-eudoxie,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE
dancourt-diable-boiteux-suite,dancourt-curieux,0.0075,dancourt-foire-saint-germain,0.0137,dancourt-chevalier-a-la-mode,0.0035,FALSE,FALSE,TRUE,TRUE,TRUE
dancourt-diable-boiteux,dancourt-enfants-de-paris,0.0083,dancourt-bourgeoises-a-la-mode,0.014,dancourt-deroute-pharaon,0.0035,FALSE,FALSE,TRUE,TRUE,TRUE
la-forge-joueuse-dupee,gillet-campagnard,0.0133,chevalier-intrigue-des-carrosses,0.0143,regnard-folies-amoureuses,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE
nivelle-gouvernante,nivelle-fausse-antipathie,0.0049,nivelle-fausse-antipathie,0.0156,nivelle-fausse-antipathie,0.0035,TRUE,TRUE,TRUE,TRUE,TRUE
garniert-trois-damis,dufresny-faux-honnete-homme,0.0097,marivaux-ecole-des-meres,0.0162,dancourt-renaud-armide,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE
jacquelin-philidor-pradon,merle-a-bas-moliere,0.0106,lesguillon-saint-yves-protege-de-moliere,0.0167,regnard-legataire,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE
musset-badine,musset-caprices,0.0077,regnard-coquette,0.017,musset-lorenzaccio,0.0035,FALSE,FALSE,TRUE,FALSE,TRUE
musset-bettine,musset-ane,0.0065,bievre-seducteur,0.0191,musset-ane,0.0035,FALSE,FALSE,TRUE,FALSE,TRUE
musset-ane,musset-bettine,0.0065,musset-louison,0.0218,musset-bettine,0.0035,FALSE,FALSE,TRUE,TRUE,TRUE
balzac-vautrin,gouges-moliere-ninon,0.011,saurin-mariage-de-julie,0.0225,dancourt-femme-d-intrigues,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE
la-calprenede-bradamante,mairet-sophonisbe,0.0053,corneillep-theodore,0.0061,du-ryer-cleomedon,0.0036,FALSE,FALSE,FALSE,FALSE,FALSE
chevreau-la-lucrece-romaine,corneillep-theodore,0.0049,scudery-amour-tyran,0.0072,du-ryer-cleomedon,0.0036,FALSE,FALSE,FALSE,FALSE,FALSE
montgaudier-natalie,baro-saint-eustache,0.0051,rotrou-belle-alphrede,0.0072,corneillep-horace,0.0036,FALSE,FALSE,FALSE,FALSE,FALSE
pechantre-geta,campistron-pompeia,0.0057,campistron-pompeia,0.0076,campistron-phocion,0.0036,FALSE,TRUE,FALSE,FALSE,FALSE
dalibray-soliman,desfontaines-veritable-semiramis,0.0065,du-ryer-dynamis,0.0082,rotrou-laure-persecutee,0.0036,FALSE,FALSE,FALSE,FALSE,FALSE
anonyme-melisse,corneillet-berger-extravagant,0.0072,cinq-auteurs-comedie-des-tuileries,0.0083,corneillep-andromede,0.0036,FALSE,FALSE,FALSE,FALSE,FALSE
dancourt-madame-artus,dancourt-enfants-de-paris,0.0055,dancourt-enfants-de-paris,0.0084,regnard-legataire,0.0036,FALSE,TRUE,TRUE,TRUE,FALSE
corneillet-illustres-ennemis,corneillet-engagements-du-hasard,0.0094,corneillet-engagements-du-hasard,0.0084,quinault-bellerophon,0.0036,FALSE,TRUE,TRUE,TRUE,FALSE
genest-zelonide,racine-alexandre-66,0.0048,guerin-de-bouscal-la-mort-de-brute-et-de-porcie,0.0088,racine-alexandre,0.0036,FALSE,FALSE,FALSE,FALSE,FALSE
saurin-beverlei,mercier-jenneval,0.0081,voltaire-enfant-prodigue,0.0098,ozicourt-romeo-juliette,0.0036,FALSE,FALSE,FALSE,FALSE,FALSE
rosimond-festin-de-pierre,moliere-festin-de-pierre,0.0065,villiers-festin-de-pierre,0.0101,villiers-festin-de-pierre,0.0036,FALSE,FALSE,FALSE,FALSE,FALSE
villiers-festin-de-pierre,guerin-de-bouscal-dom-quixote-2,0.0076,rosimond-festin-de-pierre,0.0101,rosimond-festin-de-pierre,0.0036,FALSE,FALSE,FALSE,FALSE,FALSE
corneillet-comtesse-orgueil,corneillet-baron-d-albikrac,0.0058,pg-a-la-monaco,0.0103,nivelle-ecole-meres,0.0036,FALSE,FALSE,TRUE,FALSE,FALSE
moliere-melicerte,du-ryer-vendanges-de-suresnes,0.0067,moliere-tartuffe,0.0105,moliere-femmes-savantes,0.0036,FALSE,FALSE,FALSE,TRUE,TRUE
mareschala-dictateur-romain,du-ryer-scevole,0.0066,crebillon-triumvirat,0.0116,mareschala-jugement,0.0036,FALSE,FALSE,FALSE,FALSE,TRUE
ozicourt-romeo-juliette,saurin-beverlei,0.0123,saurin-beverlei,0.0119,saurin-beverlei,0.0036,TRUE,TRUE,FALSE,FALSE,FALSE
puget-de-la-serre-pandoste-ii,puget-de-la-serre-le-pyrame,0.0084,puget-de-la-serre-le-pyrame,0.012,puget-de-la-serre-climene,0.0036,FALSE,TRUE,TRUE,TRUE,TRUE
ancelot-auger-une-seduction,patrat-heureuse-erreur,0.0081,colleville-sophie-derville,0.0122,regnard-serenade,0.0036,FALSE,FALSE,FALSE,FALSE,FALSE
nivelle-ecole-meres,nericault-glorieux,0.008,voltaire-droit-du-seigneur,0.0136,corneillet-comtesse-orgueil,0.0036,FALSE,FALSE,FALSE,FALSE,FALSE
mareschala-jugement,chabanon-eudoxie,0.0135,mareschala-dictateur-romain,0.0139,mareschala-dictateur-romain,0.0036,FALSE,FALSE,FALSE,TRUE,TRUE
la-fontaine-astree,la-fontaine-daphne,0.0087,la-motte-canente,0.0142,la-fontaine-daphne,0.0036,FALSE,FALSE,TRUE,TRUE,TRUE
la-fontaine-daphne,la-fontaine-astree,0.0087,la-motte-canente,0.0144,la-fontaine-astree,0.0036,FALSE,FALSE,TRUE,TRUE,TRUE
puget-de-la-serre-climene,baro-celinde,0.0091,puget-de-la-serre-pandoste-ii,0.0144,puget-de-la-serre-pandoste-ii,0.0036,FALSE,FALSE,FALSE,TRUE,TRUE
caylus-bordel,regnard-filles-errantes,0.0107,regnard-filles-errantes,0.0167,musset-il-ne-faut-jurer-de-rien,0.0036,FALSE,TRUE,FALSE,FALSE,FALSE
moliere-george-dandin,dancourt-parisienne,0.0085,diderot-piece-prologue,0.0196,dufresny-malade-sans-maladie,0.0036,FALSE,FALSE,FALSE,FALSE,FALSE
regnard-legataire-critique,saint-just-petite-maison,0.0126,saint-just-petite-maison,0.0212,cubieres-palmezeaux-diligence-de-lyon,0.0036,FALSE,TRUE,FALSE,FALSE,FALSE
cubieres-palmezeaux-diligence-de-lyon,poinsinet-cercle,0.0092,dufresny-chevalier-joueur,0.0223,regnard-legataire-critique,0.0036,FALSE,FALSE,FALSE,FALSE,FALSE
sacy-rivalite,dancourt-prix-arquebuse,0.0131,rousseaujb-cafe,0.0248,rousseaujb-cafe,0.0036,FALSE,FALSE,FALSE,FALSE,FALSE
desfontaines-belisaire,desfontaines-perside,0.0034,desfontaines-perside,0.0034,la-calprenede-bradamante,0.0037,FALSE,TRUE,TRUE,TRUE,FALSE
abeille-lyncee,voltaire-zulime,0.0044,voltaire-zulime,0.0053,la-thuilerie-hercule,0.0037,FALSE,TRUE,FALSE,FALSE,FALSE
du-ryer-clitophon,du-ryer-lisandre-caliste,0.004,rotrou-belle-alphrede,0.0055,du-ryer-lisandre-caliste,0.0037,FALSE,FALSE,TRUE,FALSE,TRUE
jaquelin-soliman,le-vayer-grand-selim,0.0055,corneillep-theodore,0.0059,chappuzeau-armetzar,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
rotrou-l-hypocondriaque,rotrou-celiane,0.0048,rotrou-celiane,0.0063,rotrou-celiane,0.0037,TRUE,TRUE,TRUE,TRUE,TRUE
magnon-tamerlan,magnon-mariage-oroondate,0.0053,magnon-mariage-oroondate,0.0064,la-thuilerie-soliman,0.0037,FALSE,TRUE,TRUE,TRUE,FALSE
longepierre-la-mort-de-solon,du-ryer-themistocle,0.0059,corneillep-theodore,0.0064,cinq-auteurs-comedie-des-tuileries,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
pellegrin-tibere,de-caux-marius,0.0067,barbier-mort-de-cesar,0.0073,bernard-brutus,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
linant-alzaide,pacaroni-bajazet-premier,0.0054,boyer-porus,0.0074,deshoulieres-genseric,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
lemierre-artaxerce,saurin-amenophis,0.0061,saurin-amenophis,0.0074,boissy-vie-est-un-songe,0.0037,FALSE,TRUE,FALSE,FALSE,FALSE
saurin-amenophis,lemierre-artaxerce,0.0061,lemierre-artaxerce,0.0074,lemierre-idomenee,0.0037,FALSE,TRUE,FALSE,FALSE,FALSE
sommerive-bajazet,pacaroni-bajazet-premier,0.0058,boyer-porus,0.0075,palissot-ninus,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
scudery-ligdamon-e-lidias,scudery-prince-deguise,0.0041,tristan-mariane,0.0078,dalibray-le-torrismon-du-tasse,0.0037,FALSE,FALSE,TRUE,FALSE,FALSE
mareschala-mauzolee,gillet-art-de-regner,0.0065,mareschala-cour-bergere,0.0079,mareschala-cour-bergere,0.0037,FALSE,FALSE,FALSE,TRUE,TRUE
le-vayer-grand-selim,jaquelin-soliman,0.0055,du-ryer-themistocle,0.0084,du-ryer-dynamis,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
boyer-agamemnon,palissot-ninus,0.006,voltaire-mariamne,0.0086,racine-iphigenie,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
lemierre-idomenee,palissot-ninus,0.0079,saurin-amenophis,0.0087,saurin-amenophis,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
boyer-lisimene,donneau-de-vise-mere-coquette,0.0094,quinault-genereuse-ingratitude,0.0092,quinault-coups-de-l-amour,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
graffigny-cenie,nivelle-gouvernante,0.0062,graffigny-phaza,0.0098,rousseau-narcisse,0.0037,FALSE,FALSE,FALSE,TRUE,FALSE
quinault-coups-de-l-amour,la-calprenede-bradamante,0.0068,quinault-comedie-sans-comedie,0.0099,boyer-lisimene,0.0037,FALSE,FALSE,FALSE,TRUE,FALSE
eschyle-khoephores,sophocle-antigone,0.0072,eschyle-agamemnon,0.0099,eschyle-eumenides,0.0037,FALSE,FALSE,FALSE,TRUE,TRUE
eschyle-eumenides,eschyle-agamemnon,0.0077,eschyle-khoephores,0.0105,eschyle-khoephores,0.0037,FALSE,FALSE,TRUE,TRUE,TRUE
gueullette-parade-1,gueullette-parade-2,0.0087,gueullette-parade-2,0.0106,gueullette-parade-2,0.0037,TRUE,TRUE,TRUE,TRUE,TRUE
gueullette-parade-2,gueullette-parade-1,0.0087,gueullette-parade-1,0.0106,gueullette-parade-1,0.0037,TRUE,TRUE,TRUE,TRUE,TRUE
fenelon-alexandre,genest-zelonide,0.0065,brosse-turne,0.0109,genest-zelonide,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
mercier-liberateur,cheron-homme-a-bonnes-fortunes,0.0069,mercier-jenneval,0.011,mercier-habitant-guadeloupe,0.0037,FALSE,FALSE,FALSE,TRUE,TRUE
legrand-famille-extravagante,marivaux-pere-prudent,0.0075,guibert-filles-a-marier,0.0112,andrieux-le-reve-du-mari,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
voltaire-femme-qui-a-raison,saurin-mariage-de-julie,0.0084,regnard-distrait,0.0121,regnard-joueur,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
fiot-amour-fantasque,moliere-femmes-savantes,0.0087,regnard-folies-amoureuses,0.0124,regnard-menechmes,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
moliere-amour-medecin,moliere-monsieur-pourceaugnac,0.0071,moliere-malade-imaginaire,0.0138,moliere-malade-imaginaire,0.0037,FALSE,FALSE,TRUE,TRUE,TRUE
merle-a-bas-moliere,jacquelin-philidor-pradon,0.0106,radet-raboteau-avare-ami,0.0145,scribe-les-dervis,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
sacy-serpette-magique,dufresny-double-veuvage,0.0114,desportes-veuve-coquette,0.0149,garniert-joueuses,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
moliere-precieuses-ridicules,somaize-precieuses-ridicules,0.0033,moliere-sicilien,0.0163,dancourt-deroute-pharaon,0.0037,FALSE,FALSE,FALSE,TRUE,FALSE
depret-monsieur-cambrefort,flaubert-le-candidat,0.0122,flaubert-le-candidat,0.0172,scribe-tete-a-tete,0.0037,FALSE,TRUE,FALSE,FALSE,FALSE
champmesle-coupe-enchantee,marivaux-denouement-imprevu,0.0136,sand-francois-le-champi,0.0177,dancourt-charivari,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
panard-le-reve,andrieux-le-reve-du-mari,0.0098,sewrin-la-sorciere,0.0195,marivaux-pere-prudent,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
sacy-quine,dancourt-enfants-de-paris,0.0141,sacy-fat-de-province,0.0199,plaute-aululaire,0.0037,FALSE,FALSE,FALSE,TRUE,FALSE
garniert-joueuses,beissier-un-bon-placement,0.0135,regnard-coquette,0.0236,sacy-serpette-magique,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
moliere-monsieur-pourceaugnac,moliere-amour-medecin,0.0071,carmontelle-les-epoux-malheureux,0.0261,dancourt-comedie-comediens,0.0037,FALSE,FALSE,TRUE,FALSE,FALSE
scribe-tete-a-tete,adenisj-la-double-meprise,0.0117,mons-dernier-klephte,0.0261,depret-monsieur-cambrefort,0.0037,FALSE,FALSE,FALSE,FALSE,FALSE
berquin-le-deserteur,moliere-fourberies-de-scapin,0.0134,berquin-le-conge,0.0276,berquin-le-conge,0.0037,FALSE,FALSE,FALSE,TRUE,TRUE
berquin-le-conge,berquin-la-petite-glaneuse,0.0141,berquin-le-deserteur,0.0276,berquin-le-deserteur,0.0037,FALSE,FALSE,TRUE,TRUE,TRUE
thibouville-thelamire,la-thuilerie-hercule,0.0041,la-thuilerie-soliman,0.0062,la-thuilerie-hercule,0.0038,FALSE,FALSE,FALSE,FALSE,FALSE
rayssiguier-palinice,corneillep-galerie-du-palais,0.0045,chevreau-avocat-dupe,0.0062,veronneau-l-impuissance,0.0038,FALSE,FALSE,FALSE,FALSE,FALSE
du-ryer-scevole,corneillep-cinna-43,0.0059,du-ryer-themistocle,0.0067,du-ryer-clitophon,0.0038,FALSE,FALSE,FALSE,TRUE,TRUE
legouve-laurence-orzano,crebillon-semiramis,0.0078,biancollelli-romagnesi-arcagambis,0.0086,voltaire-adelaide,0.0038,FALSE,FALSE,FALSE,FALSE,FALSE
boisrobert-cassandre,corneillet-geolier-de-sois-meme,0.0076,corneillet-geolier-de-sois-meme,0.0094,guerin-de-bouscal-fils-desavoue,0.0038,FALSE,TRUE,FALSE,FALSE,FALSE
quinault-mere-coquette,corneillet-baron-d-albikrac,0.0055,marivaux-pere-prudent,0.0096,barbier-faucon,0.0038,FALSE,FALSE,FALSE,FALSE,FALSE
veronneau-l-impuissance,rayssiguier-palinice,0.0056,baro-clorise,0.0096,rayssiguier-palinice,0.0038,FALSE,FALSE,FALSE,FALSE,FALSE
mareschala-railleur,mareschala-veritable-capitaine-matamore,0.0055,mareschala-inconstance-d-hylas,0.0101,mareschala-inconstance-d-hylas,0.0038,FALSE,FALSE,TRUE,TRUE,TRUE
guerin-de-bouscal-dom-quixote-2,guerin-de-bouscal-dom-quixote,0.0051,guerin-de-bouscal-dom-quixote,0.0106,villiers-festin-de-pierre,0.0038,FALSE,TRUE,TRUE,TRUE,FALSE
tristan-osman,tristan-mariane,0.0066,tristan-mort-seneque,0.0108,tristan-mort-de-chrispe,0.0038,FALSE,FALSE,TRUE,TRUE,TRUE
magnon-josaphat,desmares-roxelane,0.0073,du-ryer-cleomedon,0.0109,corneillep-polyeucte,0.0038,FALSE,FALSE,FALSE,FALSE,FALSE
mercier-jenneval,la-harpe-melanie,0.0057,mercier-liberateur,0.011,launay-francais-chez-les-hurons,0.0038,FALSE,FALSE,FALSE,TRUE,FALSE
barbier-faucon,corneillet-amour-a-la-mode,0.0067,corneillet-amour-a-la-mode,0.0112,quinault-mere-coquette,0.0038,FALSE,TRUE,FALSE,FALSE,FALSE
